session_file,visit_index,segment_id,entered_at,exited_at,point_count,mean_speed_mps,mean_match_distance_m,elevation_m,duration_s,elevation_delta_m,slope_observed_deg,local_relief_proxy_m
2026-08-13.gpx,1,OSM_ro122_0_0,2026-08-13 20:17:55.999000+09:00,2026-08-13 20:18:00.999000+09:00,6,3.2895206423811936,6.307774793013873,26.6375,5.0,,,5.177499999999998
2026-08-13.gpx,2,OSM_ro122_0_2,2026-08-13 20:18:01.999000+09:00,2026-08-13 20:18:04.999000+09:00,4,4.101511553041469,4.595676395238957,24.469,3.0,-2.168499999999998,-12.235155517177983,3.323999999999998
2026-08-13.gpx,3,OSM_ro122_0_4,2026-08-13 20:18:05.999000+09:00,2026-08-13 20:18:09.999000+09:00,5,4.167487841299044,3.717938221655035,21.775,4.0,-2.6940000000000026,-15.077528654215897,1.1887499999999989
2026-08-13.gpx,4,OSM_ro122_0_6,2026-08-13 20:18:10.999000+09:00,2026-08-13 20:18:13.999000+09:00,4,4.793009990027093,3.3173933676433265,21.145000000000003,3.0,-0.6299999999999955,-3.6048699037408047,1.1175000000000033
2026-08-13.gpx,5,OSM_ro122_0_8,2026-08-13 20:18:14.999000+09:00,2026-08-13 20:18:17.999000+09:00,4,4.73418046401746,2.9888935726156567,20.0275,3.0,-1.1175000000000033,-6.376348432437547,1.2387499999999996
2026-08-13.gpx,6,OSM_ro122_0_10,2026-08-13 20:18:18.999000+09:00,2026-08-13 20:18:22.999000+09:00,5,4.597480840681755,4.588466841765515,17.55,4.0,-2.477499999999999,-13.914847141874699,0.0
2026-08-13.gpx,7,OSM_ro122_0_12,2026-08-13 20:18:23.999000+09:00,2026-08-13 20:18:24.999000+09:00,2,3.979031972535978,1.4229656250619638,16.244999999999997,1.0,-1.3050000000000033,-7.435082112170401,0.0
2026-08-13.gpx,8,OSM_ro426_0_0,2026-08-13 20:18:25.999000+09:00,2026-08-13 20:18:28.999000+09:00,4,4.500881395654521,4.489014264290466,16.0285,3.0,-0.21649999999999636,-1.2402598714373865,0.0
2026-08-13.gpx,9,OSM_ro426_0_2,2026-08-13 20:18:29.999000+09:00,2026-08-13 20:18:31.999000+09:00,3,5.4540818183639885,4.052419264796501,15.159,2.0,-0.8695000000000004,-4.96936986403793,0.0
2026-08-13.gpx,10,OSM_ro426_0_4,2026-08-13 20:18:32.999000+09:00,2026-08-13 20:18:35.999000+09:00,4,5.790851384365547,5.176135419842575,14.4865,3.0,-0.6725000000000012,-3.8473481930241205,0.0
2026-08-13.gpx,11,OSM_ro426_0_6,2026-08-13 20:18:36.999000+09:00,2026-08-13 20:18:38.999000+09:00,3,5.631995358089637,4.434619486892463,13.757,2.0,-0.7294999999999998,-4.172336278852415,0.0
2026-08-13.gpx,12,OSM_ro426_0_8,2026-08-13 20:18:39.999000+09:00,2026-08-13 20:18:42.999000+09:00,4,5.538703779625693,4.885942371473177,13.062999999999999,3.0,-0.6940000000000008,-3.9699616754138525,0.0
2026-08-13.gpx,13,OSM_ro426_0_10,2026-08-13 20:18:43.999000+09:00,2026-08-13 20:18:45.999000+09:00,3,5.8450872523683275,4.619267281724274,13.011,2.0,-0.0519999999999996,-0.29793536809660454,0.0
2026-08-13.gpx,14,OSM_ro426_0_12,2026-08-13 20:18:46.999000+09:00,2026-08-13 20:18:49.999000+09:00,4,5.88797134221963,6.044688703529494,12.8555,3.0,-0.15549999999999997,-0.8908775705833215,0.0
2026-08-13.gpx,15,OSM_ro124_0_1,2026-08-13 20:18:50.999000+09:00,2026-08-13 20:18:53.999000+09:00,4,5.587694383827396,5.194593147757914,11.244499999999999,3.0,-1.6110000000000007,-9.15171853507891,0.0
2026-08-13.gpx,16,OSM_ro124_0_3,2026-08-13 20:18:54.999000+09:00,2026-08-13 20:18:58+09:00,4,5.675647396357574,6.426658647073161,11.108,3.001,-0.13649999999999807,-0.7820388222904444,0.0
2026-08-13.gpx,17,OSM_ro124_0_5,2026-08-13 20:18:59+09:00,2026-08-13 20:19:08+09:00,10,1.9131415694676055,7.173684526873349,10.737,9.0,-0.37100000000000044,-2.1246989585132776,0.0
2026-08-13.gpx,18,OSM_ro124_0_7,2026-08-13 20:19:09+09:00,2026-08-13 20:19:12+09:00,4,2.664503868404485,5.972910644568792,10.1525,3.0,-0.5845000000000002,-3.345132337403529,0.0
2026-08-13.gpx,19,OSM_ro119_0_83,2026-08-13 20:19:13+09:00,2026-08-13 20:19:15+09:00,3,5.072783375107739,4.240404113873422,9.098,2.0,-1.054499999999999,-6.019593697525244,0.0
2026-08-13.gpx,20,OSM_ro119_0_85,2026-08-13 20:19:16+09:00,2026-08-13 20:19:19+09:00,4,5.251213685590974,4.65005451688475,8.4095,3.0,-0.6885000000000012,-3.938598857332765,0.0
2026-08-13.gpx,21,OSM_ro119_0_87,2026-08-13 20:19:20+09:00,2026-08-13 20:19:22.999000+09:00,4,4.895269893595522,5.10979960914051,7.66,2.999,-0.7494999999999994,-4.286304553523849,0.0
2026-08-13.gpx,22,OSM_ro119_0_89,2026-08-13 20:19:23.999000+09:00,2026-08-13 20:19:27.999000+09:00,5,4.295487710946718,6.012226352436043,7.546,4.0,-0.11399999999999988,-0.6531435932491747,0.0
2026-08-13.gpx,23,OSM_ro119_0_91,2026-08-13 20:19:28.999000+09:00,2026-08-13 20:19:31.999000+09:00,4,4.606814440319134,4.710910488956168,7.026,3.0,-0.5200000000000005,-2.976699468111746,-0.21799999999999997
2026-08-13.gpx,24,OSM_ro119_0_93,2026-08-13 20:19:32.999000+09:00,2026-08-13 20:19:34.999000+09:00,3,6.088095274773949,3.826694143202087,6.788,2.0,-0.23799999999999955,-1.363382166552527,-0.4559999999999995
2026-08-13.gpx,25,OSM_ro119_0_94,2026-08-13 20:19:35.999000+09:00,2026-08-13 20:19:36.999000+09:00,2,6.3377925444708545,5.224020423753022,6.560499999999999,1.0,-0.22750000000000092,-1.303254176449112,-0.6835000000000004
2026-08-13.gpx,26,OSM_ro119_0_96,2026-08-13 20:19:37.999000+09:00,2026-08-13 20:19:39.999000+09:00,3,6.750168256750745,4.730913030085035,6.878,2.0,0.3175000000000008,1.8185300997183265,-0.36599999999999966
2026-08-13.gpx,27,OSM_ro119_0_98,2026-08-13 20:19:40.999000+09:00,2026-08-13 20:19:42.999000+09:00,3,6.8473548737216445,5.151410738222891,7.186,2.0,0.30799999999999983,1.7641523015723686,-0.05799999999999983
2026-08-13.gpx,28,OSM_ro119_0_100,2026-08-13 20:19:43.999000+09:00,2026-08-13 20:19:45.999000+09:00,3,6.944803511947022,5.988856460753698,7.244,2.0,0.05799999999999983,0.33231179488637685,0.0
2026-08-13.gpx,29,OSM_ro119_0_102,2026-08-13 20:19:46.999000+09:00,2026-08-13 20:19:48.999000+09:00,3,6.885993051587044,6.5070067263416895,7.406,2.0,0.16199999999999992,0.9281104426917037,0.0
2026-08-13.gpx,30,OSM_ro119_0_104,2026-08-13 20:19:49.999000+09:00,2026-08-13 20:19:51.999000+09:00,3,6.453792766156536,5.829669446551861,8.591,2.0,1.1849999999999996,6.758034789248675,0.0
2026-08-13.gpx,31,OSM_ro119_0_106,2026-08-13 20:19:52.999000+09:00,2026-08-13 20:19:54.999000+09:00,3,6.778812685722436,5.663077306317077,9.437,2.0,0.8460000000000001,4.835708237349965,0.0
2026-08-13.gpx,32,OSM_ro119_0_108,2026-08-13 20:19:55.999000+09:00,2026-08-13 20:19:57.999000+09:00,3,6.1862167988211425,5.259115018086644,10.592,2.0,1.1550000000000011,6.588468760383504,0.0
2026-08-13.gpx,33,OSM_ro119_0_110,2026-08-13 20:19:58.999000+09:00,2026-08-13 20:20:00.999000+09:00,3,6.14687710237098,7.140703850430884,10.886,2.0,0.2939999999999987,1.684010832269027,0.2939999999999987
2026-08-13.gpx,34,OSM_ro119_0_112,2026-08-13 20:20:01.999000+09:00,2026-08-13 20:20:03.999000+09:00,3,6.222233766579066,7.7889928943647755,11.365,2.0,0.479000000000001,2.7423717453481338,0.7729999999999997
2026-08-13.gpx,35,OSM_ro119_0_114,2026-08-13 20:20:04.999000+09:00,2026-08-13 20:20:05.999000+09:00,2,6.429400283302531,4.869534851597675,11.658999999999999,1.0,0.2939999999999987,1.684010832269027,1.0669999999999984
2026-08-13.gpx,36,OSM_ro119_0_116,2026-08-13 20:20:06.999000+09:00,2026-08-13 20:20:08.999000+09:00,3,7.01474673897232,4.133572385517,10.967,2.0,-0.6919999999999984,-3.9585572890002174,0.375
2026-08-13.gpx,37,OSM_ro119_0_118,2026-08-13 20:20:09.999000+09:00,2026-08-13 20:20:11.999000+09:00,3,7.610000166073886,5.212092519119763,10.768,2.0,-0.19899999999999984,-1.1400355397076678,0.17600000000000016
2026-08-13.gpx,38,OSM_ro119_0_120,2026-08-13 20:20:12.999000+09:00,2026-08-13 20:20:14.999000+09:00,3,7.399851669564978,7.330474783844728,9.537,2.0,-1.2309999999999999,-7.0178042214941465,0.0
2026-08-13.gpx,39,OSM_ro119_0_122,2026-08-13 20:20:15.999000+09:00,2026-08-13 20:20:16.999000+09:00,2,7.433360963047887,5.87101280353963,8.7615,1.0,-0.775500000000001,-4.434412390531868,-0.7074999999999996
2026-08-13.gpx,40,OSM_ro119_0_124,2026-08-13 20:20:17.999000+09:00,2026-08-13 20:20:19.999000+09:00,3,7.329587023472587,5.287666769677376,9.469,2.0,0.7074999999999996,4.046932998181567,0.20350000000000001
2026-08-13.gpx,41,OSM_ro119_0_126,2026-08-13 20:20:20.999000+09:00,2026-08-13 20:20:23.999000+09:00,4,6.541252490147258,5.539425741603903,9.2655,3.0,-0.20350000000000001,-1.1658082017235323,0.0
2026-08-13.gpx,42,OSM_ro119_0_128,2026-08-13 20:20:24.999000+09:00,2026-08-13 20:20:26.999000+09:00,3,6.808799566209508,6.719216123401194,8.983,2.0,-0.28249999999999886,-1.6181753944502244,-0.28249999999999886
2026-08-13.gpx,43,OSM_ro119_0_130,2026-08-13 20:20:27.999000+09:00,2026-08-13 20:20:29.999000+09:00,3,6.95107007245382,6.7400476459539425,8.468,2.0,-0.5150000000000006,-2.9481280948673425,-0.7974999999999994
2026-08-13.gpx,44,OSM_ro119_0_132,2026-08-13 20:20:30.999000+09:00,2026-08-13 20:20:31.999000+09:00,2,6.964225964771446,4.397418768168688,8.600999999999999,1.0,0.13299999999999912,0.7619889402352642,-0.6645000000000003
2026-08-13.gpx,45,OSM_ro119_0_133,2026-08-13 20:20:32.999000+09:00,2026-08-13 20:20:33.999000+09:00,2,6.62635887698622,6.086185338560888,9.2635,1.0,0.6625000000000014,3.7903065706935606,-0.2054999999999989
2026-08-13.gpx,46,OSM_ro119_0_135,2026-08-13 20:20:34.999000+09:00,2026-08-13 20:20:36.999000+09:00,3,6.427315746516853,4.0213339180293906,9.482,2.0,0.2184999999999988,1.2517136089681995,0.0
